question,contexts,ground_truth,evolution_type,metadata,episode_done
What is the coverage for car keys lost abroad with the Foreign Use Extension?,"[""Car Security\n\nWe'll provide cover to reprogram immobilisers, infrared handsets and alarms.\n\nCar Hire\n\nIf you can't drive your car because of lost or damaged car keys and have our Guaranteed Hire Car Plus cover, we'll extend this cover while you're unable to use your car. See 'Section 8: Guaranteed Hire Car Plus' on page 28.\n\nDriving Abroad\n\nWhile driving your car abroad, we'll cover your car keys if they are lost when:\n\nYou have Comprehensive cover and you've added Foreign Use Extension to your cover before you travel (this will be shown on your car insurance details).\n\nYou have Comprehensive Plus cover, where 90 days of Foreign Use Extension is included for each insured period.\n\nYou'll need to replace your car keys and send the receipts to us. We'll then reimburse the costs up to the amounts shown on page 8.\n\nYou'Re Not Covered For\n\n8 We don't cover any reduction in your car's market value because of lost keys.""]","While driving your car abroad, if you have Comprehensive cover and added the Foreign Use Extension before you travel, or if you have Comprehensive Plus cover with 90 days of Foreign Use Extension included, we'll cover your car keys if they are lost. You'll need to replace the keys and send the receipts to us for reimbursement up to the specified amounts.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What actions will be taken if fraud is discovered in relation to the insurance policy?,"[""Fraud\n\nYou must be honest in your dealings with us at all times. We won't pay a claim that is in any way fraudulent, false or exaggerated. If you, any person insured under this policy, \nor anyone acting on your behalf attempts to deceive us, or knowingly makes a fraudulent, false or exaggerated claim, we may:\n\nCancel your policy.\n\nReject your claim and any following claims.\n\nKeep any premium you have paid.\n\nWhat Happens If We Discover Fraud\n\nIf we discover fraud, we have the right to:\n\nCancel any other products you hold with U K Insurance Limited.\n\nCancel this policy, if the fraud happened under any other policy you hold with U K Insurance Limited.\n\nShare information about your behaviour with other organisations to prevent further fraud.\n\nWe may also involve the relevant authorities who can bring criminal proceedings.\n\nOther Insurance""]","If fraud is discovered in relation to the insurance policy, actions that may be taken include cancelling the policy, rejecting the claim and any future claims, keeping any premium paid, cancelling other products held with U K Insurance Limited, sharing information with other organizations to prevent further fraud, and involving relevant authorities for criminal proceedings.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
"How does the total case value impact the decision to pursue legal action, considering case difficulty and non-financial value?",['The difficulty of the case. Cases which are more difficult usually have greater legal costs\nattached to them.\n\nThe potential total value of the case. This includes the amount of damages you may be able to recover from the other party.\n\nThe non-financial value of the case.\n\nSometimes your claim will have a benefit to you which is difficult to value in financial terms but is still worth pursuing. For these claims your appointed representative will take the benefit to you into account when calculating the total value of your claim.\n\nIf it would be reasonable to spend more in pursuing a claim than the benefit you would get in doing so.'],"The total case value, which includes the potential damages and non-financial value of the case, impacts the decision to pursue legal action. If the cost of pursuing the claim exceeds the benefit you would receive, it may not be reasonable to proceed with legal action.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
"How does intentional damage affect insurance coverage for claims, given the policy's view on deliberate acts by insured individuals and losses from towing or government seizure?","[""Deliberate Damage\n\n✘ We won't cover any loss, damage, liability or injury caused directly or indirectly by a deliberate act by any person insured on the policy.\n\nLoss of use\n✘ We won't cover any indirect losses suffered because of an incident, unless we've stated otherwise elsewhere in this policy. For example, we won't cover: - Losing the use of your car. - Travel costs. - Loss of earnings.\n\nTowing\n\n✘ We won't cover any loss or damage to any trailer or vehicle that your car is towing, or any contents of a trailer or vehicle on tow.\n\nIf your car is removed or seized by an authority\n✘ We won't cover any loss or damage caused by a government agency or other authority that legally takes, keeps or destroys your car.\n\n✘ If you're driving or using another car and it's taken by, or on behalf of, any government or other authority, we won't provide cover to get it released.\n\nContracts""]","Intentional damage, which is deliberate acts by insured individuals, is not covered by the policy. This includes any loss, damage, liability, or injury caused directly or indirectly by deliberate acts. Additionally, losses from towing, such as damage to trailers or vehicles being towed, are also not covered. If the car is removed or seized by an authority, any resulting loss or damage is not covered by the policy.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What conditions are required for insurance to replace a stolen or damaged car with a similar make and model?,"[""What We'Ll Do\n\nWe'll replace your car with one of the same make and model if it has:\n\nBeen reported as stolen to the police and has not been found.\n\nSuffered damage that this policy covers, and the cost of repairing it is more than 60% of the last UK list price (including taxes).\n\nWe can only do this if a replacement car is available in the UK, and so long as anyone else with an interest in your car agrees. If a suitable replacement car is not available, or your car was not supplied as new in the UK, we'll pay you the market value of your car at the time it was stolen or damaged. We'll take any excess off the amount we pay you. If we settle a claim this way, the lost or damaged car becomes our property, and you'll need to send us the registration document.\n\nHotel Expenses Included With: Comp Comp+""]","The conditions required for insurance to replace a stolen or damaged car with a similar make and model are if the car has been reported as stolen to the police and has not been found, or if the car has suffered damage covered by the policy and the cost of repairing it is more than 60% of the last UK list price (including taxes). A replacement car must be available in the UK, and all parties with an interest in the car must agree to the replacement.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What steps should be taken at an accident scene for safety and insurance information?,"[""Safety Comes First\n\nStop at the scene of the accident and if there are any injuries or if any driver involved hasn't stopped, call the police and emergency services.\n\nTake photos of the accident if it's safe to do so, including any vehicles involved Remember that dash cam footage could be useful too.\n\n3 Other Driver/Vehicle Details\n\nAsk the other party for their contact details. Take down their vehicle registration, name, address and telephone number and give the third party yours. Don't accept blame for the accident.\n\n4 Witnesses\n\nIf any passers-by have stopped, you can ask for their contact details. These may be needed later for a statement if blame is being disputed.\n\n5 Call Us\n\nGiving us a call as soon as possible means you'll have the details fresh in your mind and means we can help you and the third party sooner, get you back on the road as quickly as possible.\n\nHow to get in touch Need to claim?""]","Stop at the scene of the accident, call the police and emergency services if there are injuries or if any driver involved hasn't stopped. Take photos of the accident and vehicles involved if safe, including dash cam footage. Obtain other driver/vehicle details such as contact information, vehicle registration, name, address, and telephone number. Collect witness contact details if available. Contact your insurance company as soon as possible to report the accident.",reasoning,[{'source': '/content/policy-booklet-0923.md'}],TRUE
What number and info are needed for insurance policy inquiries?,"[""Making A Claim\n\nIf you need to claim These steps will help you and enable us to process your claim quickly.\n\nHere are some important numbers you'll need if you have an accident\n\nNeed To Claim? 0345 878 6261 Windscreen Claims 0800 328 9150\n\nIf you have Essentials, Comprehensive or Comprehensive Plus cover\n\nMotor Legal Helpline 0345 246 2408\n\nIf you have Motor Legal Cover\n\nHelp With Anything Else 0345 877 6680\n\nStore these numbers in your phone so you have them available if needed. Even if you don't make a claim on your car, it's important to let us know about the accident as quickly as possible. This will enable us to contact the other party and resolve the entire claim, giving you the best service and keep the costs down.\n\nHow It Works\n\nTo get the ball rolling, we'll need to know things like:\n\nYour personal details.\n\nYour policy number.\n\nYour car registration number.\n\nA description of the loss or damage.\n\nIf you've been in an accident, the other driver's details.""]","For insurance policy inquiries, you will need to provide your personal details, policy number, car registration number, and a description of the loss or damage.",multi_context,[{'source': '/content/policy-booklet-0923.md'}],TRUE
"What areas does the 'Liability for automated cars in Great Britain' cover, and when does it provide coverage for accidents caused by automated cars?","[""It also covers journeys between these places. Please note: your 'Liability for automated cars in Great Britain' cover only applies in Great Britain, which is:\n\nEngland.\n\nScotland.\n\nWales.\n\nPlease see 'Liability for automated cars in Great Britain' on page 13 for more details.\n\nIf You Drive In The Republic Of Ireland\n\nIf you use your car in the Republic of Ireland, your car insurance gives you the same cover as you have within the territorial limits. However:\n\nIf you have Motor Legal Cover, this cover doesn't apply to any claims in the Republic of Ireland, apart from road traffic accident claims.\n\nIf you have a courtesy car, it cannot be used in the Republic of Ireland.\n\nIf you have Guaranteed Hire Car Plus, and you have been provided with a hire car, this policy doesn't give you cover to drive in the Republic of Ireland. Please check with the company that we instruct to give you the hire car to see if you are covered by their insurance."", ""Where Am I Covered?\n\nWe'll only provide the cover in this sub-section in Great Britain, which is:\n\nEngland.\n\nScotland.\n\nWales.\n\nThis is because this sub-section has been written to comply with the laws of Great Britain. If your automated car is involved in an accident when it is lawfully driving itself outside Great Britain (including when it is lawfully driving itself in Northern Ireland, the Channel Islands or the Isle of Man), the rest of your policy will apply.\n\nWhat We'Ll Do\n\nWe'll provide cover:\n\nIf Your Car Causes An Accident\n\nWe'll provide cover for an accident caused by your automated car when it is lawfully driving itself on a road or other public place in Great Britain and:\n\ninjures or kills any person (including the person in charge of your automated car), and/or\ndamages property.""]","The 'Liability for automated cars in Great Britain' cover applies to England, Scotland, and Wales. It provides coverage for accidents caused by automated cars when they are lawfully driving themselves on a road or other public place in Great Britain, causing injury or death to any person (including the person in charge of the automated car) and/or damaging property.",multi_context,"[{'source': '/content/policy-booklet-0923.md'}, {'source': '/content/policy-booklet-0923.md'}]",TRUE
What support is provided for personal accidents in a car collision involving an uninsured driver?,"[""The driver's details, if possible.\n\nThe names and addresses of any independent witnesses, if available.\n\nWhile We'Re Looking Into Your Claim\n\nWhile we're looking into your claim, you may have to pay your excess. Also, if you renew during this time, you may temporarily lose the No Claim Discount on this policy. Once we confirm that the accident was the fault of the uninsured driver, we'll repay your excess, restore the No Claim Discount on this policy, and refund any extra premium you've paid that was solely due to this claim.\n\nMedical Expenses Included With: Essential Comp Comp+\n\nIf your car is in an accident and people are injured, we'll cover medical expenses if needed. This is so long as no other car insurance policy covers the cost. We'll cover up to the amounts shown in 'What your cover includes' on page 8.\n\nPersonal Accident Included With: Essential Comp Comp+\n\nWe'll help if you or your partner are accidentally injured or killed in a car accident involving your car."", ""Section 6: Personal Benefits\n\nPersonal benefits The additional cover you have as part of your car insurance.\n\nUninsured Driver Promise Included With: Essential Comp Comp+\n\nIf you claim for an accident that isn't your fault, and the driver of the vehicle that hits your car is uninsured, the No Claim Discount on this policy will not be affected and you will not need to pay an excess.\n\nWhat We Need From You\n\nIf this happens, you'll need to give us:\n\nThe registration number, make and model of the vehicle that hit you.\n\nThe driver's details, if possible.\n\nThe names and addresses of any independent witnesses, if available.\n\nWhile We'Re Looking Into Your Claim""]",We'll help if you or your partner are accidentally injured or killed in a car accident involving your car.,multi_context,"[{'source': '/content/policy-booklet-0923.md'}, {'source': '/content/policy-booklet-0923.md'}]",TRUE
What laws apply to the contract between the policyholder and U K Insurance Limited?,"[""This policy is evidence of the contract between you and us, U K Insurance Limited, and is based on information you've given to us. In return for receiving and accepting the premium, we'll provide insurance under this policy for the sections shown on your car insurance details. The laws that apply to this contract You and we may choose which law will apply to this policy. Unless both parties agree otherwise, English law will apply. However, if you are resident in Jersey, Guernsey, Alderney or the Isle of Man, the law of the island where you are resident will always apply to your policy and any dispute in relation to it will be within the jurisdiction of that island's relevant court. We've supplied this policy and other information to you in English and we'll continue to communicate with you in English. Giving you a recommendation We have not given you a personal recommendation as to whether this policy is suitable for your specific needs. Just to let you know, our consultants may""]","You and we may choose which law will apply to this policy. Unless both parties agree otherwise, English law will apply. However, if you are resident in Jersey, Guernsey, Alderney or the Isle of Man, the law of the island where you are resident will always apply to your policy and any dispute in relation to it will be within the jurisdiction of that island's relevant court.",simple,[{'source': '/content/policy-booklet-0923.md'}],TRUE
